,PLAYER,3P%,CI,3PA
0,Chris Livingston,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
1,Drew Eubanks,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",2
2,Drew Peterson,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
3,Garrett Temple,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
4,Jordan Miller,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
5,Leonard Miller,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
6,Nic Claxton,0.9604231977459051,"(0.8878878878878879, 0.998998998998999)",1
7,Nate Hinton,0.7999935728698179,"(0.7017017017017017, 0.8978978978978979)",5
8,Jordan Ford,0.6669999999956459,"(0.5685685685685685, 0.7647647647647647)",3
9,Ryan Rollins,0.6669999999956459,"(0.5685685685685685, 0.7647647647647647)",3
10,Mo Bamba,0.6149999999999975,"(0.5165165165165165, 0.7127127127127127)",13
11,Orlando Robinson,0.583,"(0.4854854854854855, 0.6806806806806807)",12
12,James Bouknight,0.5450000000000002,"(0.44744744744744747, 0.6426426426426426)",11
13,Jalen Smith,0.533,"(0.43543543543543545, 0.6306306306306306)",45
14,Stanley Umude,0.519,"(0.4214214214214214, 0.6166166166166166)",27
15,Jae Crowder,0.516,"(0.4184184184184184, 0.6136136136136137)",31
16,Dereon Seabron,0.5,"(0.4024024024024024, 0.5975975975975976)",2
17,Dwight Powell,0.5,"(0.4024024024024024, 0.5975975975975976)",2
18,Dylan Windler,0.5,"(0.4024024024024024, 0.5975975975975976)",2
19,Isaiah Mobley,0.5,"(0.4024024024024024, 0.5975975975975976)",2
20,Ish Smith,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
21,Jordan McLaughlin,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",6
22,Justin Minaya,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
23,Keon Johnson,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
24,Leaky Black,0.5,"(0.4024024024024024, 0.5975975975975976)",2
25,Nikola Jovic,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",12
26,Patty Mills,0.49999999999999994,"(0.4024024024024024, 0.5975975975975976)",10
27,Robin Lopez,0.4999999999999999,"(0.4024024024024024, 0.5975975975975976)",4
28,TyTy Washington Jr.,0.5,"(0.4024024024024024, 0.5975975975975976)",2
29,Nick Smith Jr.,0.48899999999999993,"(0.3913913913913914, 0.5865865865865866)",47
30,Aaron Wiggins,0.485,"(0.38738738738738737, 0.5825825825825826)",33
31,Kevin Durant,0.477,"(0.3793793793793794, 0.5745745745745746)",128
32,Aaron Nesmith,0.475,"(0.37737737737737737, 0.5725725725725725)",141
33,Matt Ryan,0.4710000000000001,"(0.3733733733733734, 0.5685685685685685)",68
34,Nicolas Batum,0.46899999999999986,"(0.3713713713713714, 0.5665665665665666)",64
35,Malik Beasley,0.46799999999999997,"(0.37037037037037035, 0.5655655655655656)",203
36,Justin Holiday,0.4650000000000001,"(0.36736736736736736, 0.5625625625625625)",43
37,Lonnie Walker IV,0.46299999999999986,"(0.36536536536536535, 0.5605605605605606)",95
38,Grayson Allen,0.45599999999999996,"(0.35835835835835833, 0.5535535535535535)",147
39,Mike Conley,0.45499999999999996,"(0.35735735735735735, 0.5525525525525525)",167
40,Daniel Theis,0.45499999999999996,"(0.35735735735735735, 0.5525525525525525)",22
41,Kenrich Williams,0.45499999999999996,"(0.35735735735735735, 0.5525525525525525)",44
42,Jamal Murray,0.454,"(0.3563563563563564, 0.5515515515515516)",119
43,Dante Exum,0.45199999999999996,"(0.35435435435435436, 0.5495495495495496)",62
44,Norman Powell,0.4489999999999999,"(0.35135135135135137, 0.5465465465465466)",138
45,Duncan Robinson,0.444,"(0.34634634634634637, 0.5415415415415415)",216
46,Donte DiVincenzo,0.4429999999999999,"(0.34534534534534533, 0.5405405405405406)",185
47,Doug McDermott,0.442,"(0.34434434434434436, 0.5395395395395395)",113
48,Jacob Gilyard,0.442,"(0.34434434434434436, 0.5395395395395395)",52
49,Marcus Morris Sr.,0.442,"(0.34434434434434436, 0.5395395395395395)",52
50,Garrison Mathews,0.442,"(0.34434434434434436, 0.5395395395395395)",43
51,Alex Caruso,0.43899999999999995,"(0.34134134134134136, 0.5365365365365365)",107
52,Jeremiah Robinson-Earl,0.43799999999999994,"(0.34034034034034033, 0.5355355355355356)",16
53,Sam Merrill,0.43500000000000005,"(0.33733733733733734, 0.5325325325325325)",85
54,Kyle Lowry,0.435,"(0.33733733733733734, 0.5325325325325325)",131
55,Jalen Williams,0.43499999999999994,"(0.33733733733733734, 0.5325325325325325)",92
56,Lindy Waters III,0.43299999999999994,"(0.3353353353353353, 0.5305305305305306)",30
57,Cason Wallace,0.43199999999999994,"(0.33433433433433435, 0.5295295295295295)",81
58,AJ Green,0.43200000000000005,"(0.33433433433433435, 0.5295295295295295)",44
59,Jalen Brunson,0.43100000000000005,"(0.3333333333333333, 0.5285285285285285)",211
60,CJ McCollum,0.43000000000000005,"(0.33233233233233234, 0.5275275275275275)",165
61,Andre Jackson Jr.,0.4290000000000001,"(0.3313313313313313, 0.5265265265265265)",28
62,Davis Bertans,0.42899999999999994,"(0.3313313313313313, 0.5265265265265265)",21
63,Draymond Green,0.42900000000000005,"(0.3313313313313313, 0.5265265265265265)",42
64,MarJon Beauchamp,0.42899999999999994,"(0.3313313313313313, 0.5265265265265265)",49
65,Marcus Sasser,0.4290000000000001,"(0.3313313313313313, 0.5265265265265265)",84
66,Patrick Baldwin Jr.,0.42900000000000016,"(0.3313313313313313, 0.5265265265265265)",7
67,James Harden,0.42800000000000005,"(0.3303303303303303, 0.5255255255255256)",173
68,Kawhi Leonard,0.428,"(0.3303303303303303, 0.5255255255255256)",152
69,Tyus Jones,0.42600000000000005,"(0.3283283283283283, 0.5235235235235235)",115
70,Dorian Finney-Smith,0.4259999999999999,"(0.3283283283283283, 0.5235235235235235)",169
71,Tyler Herro,0.42399999999999993,"(0.3263263263263263, 0.5215215215215215)",118
72,Malcolm Brogdon,0.42299999999999993,"(0.3253253253253253, 0.5205205205205206)",137
73,Trey Murphy III,0.42299999999999993,"(0.3253253253253253, 0.5205205205205206)",78
74,Cameron Johnson,0.422,"(0.32432432432432434, 0.5195195195195195)",161
75,Derrick White,0.42200000000000004,"(0.32432432432432434, 0.5195195195195195)",199
76,Sam Hauser,0.422,"(0.32432432432432434, 0.5195195195195195)",185
77,Isaiah Joe,0.42,"(0.32232232232232233, 0.5175175175175175)",174
78,Seth Curry,0.4190000000000001,"(0.3213213213213213, 0.5165165165165165)",62
79,Jrue Holiday,0.4189999999999999,"(0.3213213213213213, 0.5165165165165165)",136
80,Luguentz Dort,0.41800000000000004,"(0.3203203203203203, 0.5155155155155156)",141
81,Jerami Grant,0.41700000000000015,"(0.31931931931931934, 0.5145145145145145)",163
82,Cole Swider,0.41700000000000015,"(0.31931931931931934, 0.5145145145145145)",12
83,Kentavious Caldwell-Pope,0.41500000000000004,"(0.3173173173173173, 0.5125125125125125)",118
84,Jalen Johnson,0.415,"(0.3173173173173173, 0.5125125125125125)",53
85,Brandin Podziemski,0.4140000000000001,"(0.3163163163163163, 0.5115115115115115)",87
86,Aaron Holiday,0.4129999999999999,"(0.3153153153153153, 0.5105105105105106)",92
87,Karl-Anthony Towns,0.4129999999999999,"(0.3153153153153153, 0.5105105105105106)",143
88,Dru Smith,0.41200000000000014,"(0.31431431431431434, 0.5095095095095095)",17
89,Malik Monk,0.4110000000000001,"(0.3133133133133133, 0.5085085085085085)",192
90,Stephen Curry,0.41,"(0.3123123123123123, 0.5075075075075075)",356
91,Kelly Olynyk,0.41000000000000003,"(0.3123123123123123, 0.5075075075075075)",61
92,Luke Kennard,0.41000000000000003,"(0.3123123123123123, 0.5075075075075075)",61
93,LeBron James,0.409,"(0.3113113113113113, 0.5065065065065065)",171
94,Julian Champagnie,0.409,"(0.3113113113113113, 0.5065065065065065)",88
95,Patrick Williams,0.40900000000000003,"(0.3113113113113113, 0.5065065065065065)",115
96,Tyrese Haliburton,0.408,"(0.3103103103103103, 0.5055055055055055)",262
97,Dillon Brooks,0.408,"(0.3103103103103103, 0.5055055055055055)",130
98,Chet Holmgren,0.4070000000000001,"(0.30930930930930933, 0.5045045045045045)",140
99,Joe Ingles,0.40700000000000025,"(0.30930930930930933, 0.5045045045045045)",59
100,Eric Gordon,0.4060000000000001,"(0.3083083083083083, 0.5035035035035035)",192
101,De'Andre Hunter,0.404,"(0.3063063063063063, 0.5015015015015015)",114
102,Taurean Prince,0.4010000000000002,"(0.3033033033033033, 0.4984984984984985)",177
103,Anfernee Simons,0.40000000000000024,"(0.3023023023023023, 0.4974974974974975)",105
104,Bryce McGowens,0.40000000000000024,"(0.3023023023023023, 0.4974974974974975)",55
105,Christian Braun,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",65
106,Daishen Nix,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",5
107,GG Jackson,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",5
108,Jose Alvarado,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",65
109,Miles McBride,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",20
110,Olivier Sarr,0.4000000000000003,"(0.3023023023023023, 0.4974974974974975)",5
111,Simone Fontecchio,0.3990000000000002,"(0.3013013013013013, 0.4964964964964965)",148
112,Paul George,0.3980000000000003,"(0.3003003003003003, 0.4964964964964965)",246
113,De'Aaron Fox,0.3980000000000003,"(0.3003003003003003, 0.4964964964964965)",231
114,Isaiah Stewart,0.3980000000000002,"(0.3003003003003003, 0.4964964964964965)",98
115,Bilal Coulibaly,0.3980000000000003,"(0.3003003003003003, 0.4964964964964965)",88
116,Naz Reid,0.39700000000000035,"(0.29929929929929927, 0.4954954954954955)",151
117,Brandon Miller,0.3960000000000005,"(0.2982982982982983, 0.4944944944944945)",149
118,Cameron Payne,0.3960000000000006,"(0.2982982982982983, 0.4944944944944945)",96
119,Immanuel Quickley,0.39500000000000046,"(0.2972972972972973, 0.4934934934934935)",167
120,Bradley Beal,0.3930000000000006,"(0.2952952952952953, 0.49149149149149146)",28
121,Michael Porter Jr.,0.39200000000000074,"(0.29429429429429427, 0.4904904904904905)",250
122,Kyrie Irving,0.391000000000001,"(0.2932932932932933, 0.4894894894894895)",115
123,Fred VanVleet,0.3900000000000012,"(0.2922922922922923, 0.48848848848848847)",228
124,Jalen Pickett,0.3890000000000014,"(0.2912912912912913, 0.4874874874874875)",18
125,LaMelo Ball,0.3880000000000016,"(0.2902902902902903, 0.48648648648648646)",134
126,D'Angelo Russell,0.38800000000000145,"(0.2902902902902903, 0.48648648648648646)",165
127,Tyrese Maxey,0.3880000000000015,"(0.2902902902902903, 0.48648648648648646)",263
128,Harrison Barnes,0.38700000000000173,"(0.28928928928928926, 0.4854854854854855)",137
129,Dario Saric,0.3860000000000022,"(0.2882882882882883, 0.4844844844844845)",127
130,Scottie Barnes,0.38500000000000245,"(0.2872872872872873, 0.48348348348348347)",187
131,Reggie Jackson,0.3840000000000029,"(0.2862862862862863, 0.4824824824824825)",138
132,Desmond Bane,0.384000000000003,"(0.2862862862862863, 0.4824824824824825)",284
133,Dejounte Murray,0.3830000000000033,"(0.2852852852852853, 0.48148148148148145)",206
134,Coby White,0.38300000000000334,"(0.2852852852852853, 0.48148148148148145)",253
135,Khris Middleton,0.3830000000000033,"(0.2852852852852853, 0.48148148148148145)",128
136,Naji Marshall,0.38200000000000395,"(0.28428428428428426, 0.4804804804804805)",68
137,Troy Brown Jr.,0.38200000000000395,"(0.28428428428428426, 0.4804804804804805)",68
138,Bogdan Bogdanovic,0.3820000000000039,"(0.28428428428428426, 0.4804804804804805)",275
139,Torrey Craig,0.3820000000000039,"(0.28428428428428426, 0.4804804804804805)",76
140,Gary Trent Jr.,0.38200000000000395,"(0.28428428428428426, 0.4804804804804805)",173
141,Buddy Hield,0.38100000000000456,"(0.2832832832832833, 0.4794794794794795)",244
142,Grant Williams,0.38100000000000456,"(0.2832832832832833, 0.4794794794794795)",155
143,Trae Young,0.38000000000000533,"(0.2822822822822823, 0.47847847847847846)",287
144,Bennedict Mathurin,0.3790000000000062,"(0.28128128128128127, 0.4774774774774775)",116
145,Anthony Edwards,0.37900000000000617,"(0.28128128128128127, 0.4774774774774775)",198
146,Caleb Martin,0.37900000000000617,"(0.28128128128128127, 0.4774774774774775)",66
147,Jabari Smith Jr.,0.37900000000000617,"(0.28128128128128127, 0.4774774774774775)",132
148,OG Anunoby,0.37900000000000617,"(0.28128128128128127, 0.4774774774774775)",169
149,Kelly Oubre Jr.,0.3790000000000062,"(0.28128128128128127, 0.4774774774774775)",103
150,Landry Shamet,0.3780000000000071,"(0.2802802802802803, 0.47647647647647645)",74
151,Obi Toppin,0.3780000000000071,"(0.2802802802802803, 0.47647647647647645)",111
152,Luka Doncic,0.3780000000000071,"(0.2802802802802803, 0.47647647647647645)",328
153,Payton Pritchard,0.3780000000000071,"(0.2802802802802803, 0.47647647647647645)",143
154,Al Horford,0.3770000000000083,"(0.27927927927927926, 0.4754754754754755)",106
155,Jimmy Butler,0.3770000000000083,"(0.27927927927927926, 0.4754754754754755)",53
156,Quentin Grimes,0.3770000000000083,"(0.27927927927927926, 0.4754754754754755)",130
157,Klay Thompson,0.3770000000000083,"(0.27927927927927926, 0.4754754754754755)",268
158,Bojan Bogdanovic,0.37600000000000966,"(0.2782782782782783, 0.4744744744744745)",101
159,Lauri Markkanen,0.37600000000000977,"(0.2782782782782783, 0.4744744744744745)",202
160,Anthony Davis,0.37500000000001116,"(0.2772772772772773, 0.47347347347347346)",32
161,Cam Whitmore,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",16
162,Jeremy Sochan,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",80
163,John Collins,0.3750000000000112,"(0.2772772772772773, 0.47347347347347346)",112
164,Josh Giddey,0.3750000000000112,"(0.2772772772772773, 0.47347347347347346)",88
165,Larry Nance Jr.,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",16
166,Oshae Brissett,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",16
167,Paul Reed,0.37500000000001127,"(0.2772772772772773, 0.47347347347347346)",16
168,Trey Lyles,0.37300000000001526,"(0.2752752752752753, 0.47147147147147145)",75
169,Devin Booker,0.3730000000000152,"(0.2752752752752753, 0.47147147147147145)",126
170,Matisse Thybulle,0.3730000000000152,"(0.2752752752752753, 0.47147147147147145)",126
171,Royce O'Neale,0.3720000000000177,"(0.27427427427427425, 0.47047047047047047)",180
172,Nickeil Alexander-Walker,0.36900000000002753,"(0.27127127127127126, 0.4674674674674675)",122
173,Domantas Sabonis,0.36800000000003186,"(0.2702702702702703, 0.46646646646646645)",38
174,Kris Dunn,0.36800000000003186,"(0.2702702702702703, 0.46646646646646645)",38
175,Reggie Bullock Jr.,0.36800000000003186,"(0.2702702702702703, 0.46646646646646645)",19
176,Rui Hachimura,0.36800000000003186,"(0.2702702702702703, 0.46646646646646645)",76
177,Corey Kispert,0.36800000000003186,"(0.2702702702702703, 0.46646646646646645)",174
178,Sasha Vezenkov,0.3670000000000371,"(0.26926926926926925, 0.46546546546546547)",79
179,Dean Wade,0.3660000000000429,"(0.2682682682682683, 0.46446446446446443)",101
180,Josh Green,0.3660000000000428,"(0.2682682682682683, 0.46446446446446443)",71
181,Devin Vassell,0.3660000000000429,"(0.2682682682682683, 0.46446446446446443)",194
182,Caleb Houstan,0.3650000000000496,"(0.26726726726726724, 0.46346346346346345)",63
183,Jonas Valanciunas,0.3650000000000496,"(0.26726726726726724, 0.46346346346346345)",63
184,De'Anthony Melton,0.3650000000000496,"(0.26726726726726724, 0.46346346346346345)",181
185,Bones Hyland,0.3640000000000575,"(0.26626626626626626, 0.4624624624624625)",55
186,Jaden McDaniels,0.3640000000000575,"(0.26626626626626626, 0.4624624624624625)",66
187,Jared Butler,0.36400000000005744,"(0.26626626626626626, 0.4624624624624625)",22
188,Terry Rozier,0.3630000000000665,"(0.2652652652652653, 0.46146146146146144)",157
189,Damian Lillard,0.362000000000077,"(0.26426426426426425, 0.46046046046046046)",279
190,Gordon Hayward,0.3610000000000888,"(0.26326326326326327, 0.45945945945945943)",61
191,Tari Eason,0.3600000000001026,"(0.26226226226226224, 0.45845845845845845)",50
192,Mikal Bridges,0.36000000000010257,"(0.26226226226226224, 0.45845845845845845)",189
193,Isaac Okoro,0.3590000000001185,"(0.26126126126126126, 0.4574574574574575)",64
194,Duop Reath,0.3590000000001185,"(0.26126126126126126, 0.4574574574574575)",78
195,Brandon Ingram,0.3580000000001369,"(0.2602602602602603, 0.45645645645645644)",123
196,Paolo Banchero,0.3580000000001369,"(0.2602602602602603, 0.45645645645645644)",123
197,Dennis Schroder,0.35800000000013676,"(0.2602602602602603, 0.45645645645645644)",151
198,Chris Boucher,0.35700000000015797,"(0.25925925925925924, 0.45545545545545546)",56
199,Chris Paul,0.3570000000001579,"(0.25925925925925924, 0.45545545545545546)",112
200,Jalen Suggs,0.35700000000015786,"(0.25925925925925924, 0.45545545545545546)",140
201,Austin Reaves,0.35700000000015786,"(0.25925925925925924, 0.45545545545545546)",157
202,Myles Turner,0.35700000000015786,"(0.25925925925925924, 0.45545545545545546)",129
203,Kyle Kuzma,0.35700000000015786,"(0.25925925925925924, 0.45545545545545546)",230
204,Keegan Murray,0.3560000000001822,"(0.25825825825825827, 0.4544544544544544)",191
205,Cole Anthony,0.35500000000021004,"(0.25725725725725723, 0.45345345345345345)",124
206,Danuel House Jr.,0.35500000000021004,"(0.25725725725725723, 0.45345345345345345)",31
207,Jordan Hawkins,0.35500000000021004,"(0.25725725725725723, 0.45345345345345345)",172
208,Cam Thomas,0.35500000000021004,"(0.25725725725725723, 0.45345345345345345)",141
209,Jaden Hardy,0.3550000000002101,"(0.25725725725725723, 0.45345345345345345)",110
210,Kevin Knox II,0.35400000000024207,"(0.25625625625625625, 0.45245245245245247)",48
211,Ochai Agbaji,0.35400000000024207,"(0.25625625625625625, 0.45245245245245247)",113
212,Tobias Harris,0.35400000000024207,"(0.25625625625625625, 0.45245245245245247)",113
213,Jaime Jaquez Jr.,0.35400000000024207,"(0.25625625625625625, 0.45245245245245247)",99
214,Kevin Love,0.35300000000027887,"(0.2552552552552553, 0.45145145145145144)",133
215,Joel Embiid,0.35300000000027887,"(0.2552552552552553, 0.45145145145145144)",85
216,Cedi Osman,0.3520000000003212,"(0.25425425425425424, 0.45045045045045046)",105
217,Jalen Green,0.3520000000003212,"(0.25425425425425424, 0.45045045045045046)",193
218,Alec Burks,0.3520000000003212,"(0.25425425425425424, 0.45045045045045046)",128
219,Donovan Mitchell,0.3510000000003698,"(0.25325325325325326, 0.4494494494494494)",222
220,Max Strus,0.3510000000003698,"(0.25325325325325326, 0.4494494494494494)",282
221,Tim Hardaway Jr.,0.3510000000003698,"(0.25325325325325326, 0.4494494494494494)",282
222,Craig Porter Jr.,0.3500000000004254,"(0.25225225225225223, 0.44844844844844844)",20
223,Keon Ellis,0.3500000000004254,"(0.25225225225225223, 0.44844844844844844)",60
224,Malachi Flynn,0.3500000000004254,"(0.25225225225225223, 0.44844844844844844)",80
225,Ousmane Dieng,0.35000000000042536,"(0.25225225225225223, 0.44844844844844844)",40
226,Shaedon Sharpe,0.3480000000005627,"(0.2502502502502503, 0.44644644644644643)",155
227,Anthony Black,0.3480000000005627,"(0.2502502502502503, 0.44644644644644643)",46
228,Josh Hart,0.3480000000005627,"(0.2502502502502503, 0.44644644644644643)",92
229,Otto Porter Jr.,0.3480000000005627,"(0.2502502502502503, 0.44644644644644643)",23
230,Derrick Jones Jr.,0.3480000000005627,"(0.2502502502502503, 0.44644644644644643)",141
231,Kevin Huerter,0.34700000000064685,"(0.24924924924924924, 0.44544544544544545)",167
232,Jayson Tatum,0.3470000000006468,"(0.24924924924924924, 0.44544544544544545)",265
233,Santi Aldama,0.34700000000064685,"(0.24924924924924924, 0.44544544544544545)",121
234,Bobby Portis,0.34700000000064685,"(0.24924924924924924, 0.44544544544544545)",98
235,Darius Garland,0.34600000000074316,"(0.24824824824824826, 0.4444444444444444)",104
236,Peyton Watson,0.3450000000008533,"(0.24724724724724725, 0.44344344344344344)",58
237,Wendell Carter Jr.,0.3450000000008534,"(0.24724724724724725, 0.44344344344344344)",29
238,Deni Avdija,0.34400000000097963,"(0.24624624624624625, 0.44244244244244246)",90
239,Armoni Brooks,0.34400000000097963,"(0.24624624624624625, 0.44244244244244246)",32
